EMIS_Code,Latitude,Longitude,Percent_Built_Earliest,Percent_Built_Recent,Satellite_BuiltUp_Percent,Satellite_Density_Flag
31321031,,,,,,NoData
33140395,31.3711401,73.0706582,100.0,100.0,100.0,High_Density
32110836,,,,,,NoData
32410223,29.6384224,70.5772492,96.88,93.75,93.75,High_Density
37320082,33.9056829,73.392674,100.0,100.0,100.0,High_Density
31150222,30.0061639,73.2661567,100.0,100.0,100.0,High_Density
32330665,30.084183,71.1939667,100.0,90.62,90.62,High_Density
37360182,33.2590018,73.3076163,100.0,100.0,100.0,High_Density
37350011,33.8058076,73.5237431,100.0,100.0,100.0,High_Density
37350153,33.8058076,73.5237431,100.0,100.0,100.0,High_Density
34120519,32.0346163,74.3438688,100.0,100.0,100.0,High_Density
37350096,33.8058076,73.5237431,100.0,100.0,100.0,High_Density
32120005,,,,,,NoData
31320001,28.760002,70.820985,100.0,,100.0,High_Density
32120041,30.550891,70.595535,100.0,100.0,100.0,High_Density
35210039,31.5870311,74.3821182,100.0,100.0,100.0,High_Density
39330054,30.8782508,73.5998771,100.0,100.0,100.0,High_Density
35220054,31.5831841,74.3184836,100.0,100.0,100.0,High_Density
31240443,29.3483637,71.6954115,100.0,100.0,100.0,High_Density
32340004,29.5105224,70.8459377,100.0,100.0,100.0,High_Density
32110043,,,,,,NoData
37320274,33.9056829,73.392674,100.0,100.0,100.0,High_Density
32420001,29.1002542,70.3378699,100.0,100.0,100.0,High_Density
35210824,31.5831841,74.3184836,100.0,100.0,100.0,High_Density
35210131,31.4729999,74.3108542,100.0,100.0,100.0,High_Density
35220183,31.2443583,74.2138126,100.0,100.0,100.0,High_Density
35220056,31.2443583,74.2138126,100.0,100.0,100.0,High_Density
32410563,29.6384224,70.5772492,96.88,93.75,93.75,High_Density
31210225,29.2059591,71.4002392,98.44,98.44,98.44,High_Density
39330018,30.8782508,73.5998771,100.0,100.0,100.0,High_Density
31210206,29.2059591,71.4002392,98.44,98.44,98.44,High_Density
32410242,29.6384224,70.5772492,96.88,93.75,93.75,High_Density
37350183,33.8058076,73.5237431,100.0,100.0,100.0,High_Density
32110506,,,,,,NoData
32320754,,,,,,NoData
32220564,,,,,,NoData
37140013,33.4317702,72.0196309,100.0,100.0,100.0,High_Density
32430052,28.78785,70.00177,67.19,70.31,70.31,High_Density
37350027,33.8058076,73.5237431,100.0,100.0,100.0,High_Density
39320043,30.80528,73.4442836,100.0,100.0,100.0,High_Density
36120106,29.678265,71.252432,100.0,100.0,100.0,High_Density
31150399,30.0061639,73.2661567,100.0,100.0,100.0,High_Density
31150407,30.0061639,73.2661567,100.0,100.0,100.0,High_Density
31320431,28.6764261,70.7270481,100.0,100.0,100.0,High_Density
37350144,33.8058076,73.5237431,100.0,100.0,100.0,High_Density
34120401,32.0346163,74.3438688,100.0,100.0,100.0,High_Density
34140427,32.066431,74.142221,100.0,100.0,100.0,High_Density
34120345,32.0346163,74.3438688,100.0,100.0,100.0,High_Density
34140293,,,,,,NoData
34120250,32.0346163,74.3438688,100.0,100.0,100.0,High_Density
31250141,29.579302,72.2453333,100.0,100.0,100.0,High_Density
31210371,29.2059591,71.4002392,98.44,98.44,98.44,High_Density
31240172,29.3483637,71.6954115,100.0,100.0,100.0,High_Density
31230405,29.401877,71.8123884,92.19,17.19,17.19,Low_Density
31260023,,,,,,NoData
34410357,32.1712427,74.9087862,100.0,100.0,100.0,High_Density
34420044,32.2631481,75.1604548,100.0,100.0,100.0,High_Density
34430575,32.3427221,74.9020032,100.0,100.0,100.0,High_Density
34420506,32.2631481,75.1604548,100.0,100.0,100.0,High_Density
34420203,32.2631481,75.1604548,100.0,100.0,100.0,High_Density
34310578,32.3322279,74.3512339,100.0,100.0,100.0,High_Density
34310564,32.3322279,74.3512339,100.0,100.0,100.0,High_Density
34320411,32.4846576,74.5442398,100.0,100.0,100.0,High_Density
34320591,32.4846576,74.5442398,100.0,100.0,100.0,High_Density
34340049,32.4756481,74.3529135,100.0,100.0,100.0,High_Density
35110217,30.9631954,73.9807183,100.0,100.0,100.0,High_Density
35130241,31.0211712,73.8529652,100.0,100.0,100.0,High_Density
35120754,31.1178863,74.442669,100.0,100.0,100.0,High_Density
35110260,30.9631954,73.9807183,100.0,100.0,100.0,High_Density
35130178,31.0211712,73.8529652,100.0,100.0,100.0,High_Density
38330793,32.2923004,71.3687782,100.0,100.0,100.0,High_Density
38331081,32.2923004,71.3687782,100.0,100.0,100.0,High_Density
38310049,32.6750144,71.2761153,100.0,100.0,100.0,High_Density
38320408,32.5793897,71.5353168,100.0,100.0,100.0,High_Density
38320291,32.5793897,71.5353168,100.0,100.0,100.0,High_Density
37140182,33.4317702,72.0196309,100.0,100.0,100.0,High_Density
37130189,33.2437103,72.2686198,100.0,100.0,100.0,High_Density
37110078,33.77451,72.3516178,0.0,0.0,0.0,Low_Density
37150029,33.8150627,72.7030379,0.0,37.5,37.5,Mixed_Density
37130200,33.2437103,72.2686198,100.0,100.0,100.0,High_Density
38130070,31.3871859,71.4392176,100.0,100.0,100.0,High_Density
38140867,31.7855908,71.1088112,57.81,100.0,100.0,High_Density
38110068,31.6221111,71.0650584,100.0,100.0,100.0,High_Density
38110902,31.6221111,71.0650584,100.0,100.0,100.0,High_Density
38130099,31.3871859,71.4392176,100.0,100.0,100.0,High_Density
37340027,33.7422793,72.8145203,100.0,100.0,100.0,High_Density
37370224,33.4145534,73.3782841,100.0,100.0,100.0,High_Density
37330191,33.6040754,73.0483807,100.0,100.0,100.0,High_Density
37370486,33.4145534,73.3782841,100.0,100.0,100.0,High_Density
37360304,33.2590018,73.3076163,100.0,100.0,100.0,High_Density
37420373,32.9320074,72.8308888,100.0,100.0,100.0,High_Density
37410001,32.932827,72.8629763,100.0,100.0,100.0,High_Density
37410518,32.932827,72.8629763,100.0,100.0,100.0,High_Density
37420431,32.9320074,72.8308888,100.0,100.0,100.0,High_Density
37410488,32.932827,72.8629763,100.0,100.0,100.0,High_Density
33140283,31.3711401,73.0706582,100.0,100.0,100.0,High_Density
33140422,31.259546,72.9367562,93.75,98.44,98.44,High_Density
33110139,31.386296,73.0676444,100.0,100.0,100.0,High_Density
33130285,31.4103462,73.0936494,100.0,100.0,100.0,High_Density
33130355,31.4103462,73.0936494,100.0,100.0,100.0,High_Density
36310105,30.1553358,72.6815187,100.0,100.0,100.0,High_Density
36310201,30.1553358,72.6815187,100.0,100.0,100.0,High_Density
36310054,30.1553358,72.6815187,100.0,100.0,100.0,High_Density
36320664,29.8073001,72.1769109,100.0,100.0,100.0,High_Density
36310268,30.1553358,72.6815187,100.0,100.0,100.0,High_Density
39330085,30.8782508,73.5998771,100.0,100.0,100.0,High_Density
39310403,30.6691771,73.6513733,100.0,100.0,100.0,High_Density
39320147,30.80528,73.4442836,100.0,100.0,100.0,High_Density
39320499,30.80528,73.4442836,100.0,100.0,100.0,High_Density
39330731,30.8782508,73.5998771,100.0,100.0,100.0,High_Density
35450436,31.7313228,73.577162,100.0,100.0,100.0,High_Density
35620213,31.7313228,73.577162,100.0,100.0,100.0,High_Density
35420720,31.8010863,74.2540999,100.0,100.0,100.0,High_Density
35620614,31.7313228,73.577162,100.0,100.0,100.0,High_Density
35420117,31.8010863,74.2540999,100.0,100.0,100.0,High_Density
33340199,30.6478,72.51244,98.44,100.0,100.0,High_Density
33320089,,,,,,NoData
33310319,,,,,,NoData
33310170,30.910778,72.580153,100.0,100.0,100.0,High_Density
33340414,,,,,,NoData
38420606,32.0836514,72.676461,100.0,100.0,100.0,High_Density
38430251,32.2691358,72.4717312,100.0,100.0,100.0,High_Density
38450476,31.9729496,72.3296061,100.0,100.0,100.0,High_Density
38420348,32.0836514,72.676461,100.0,100.0,100.0,High_Density
38450058,31.9729496,72.3296061,100.0,100.0,100.0,High_Density
37240376,33.0279237,73.6010809,100.0,100.0,100.0,High_Density
37220251,32.5939485,73.0459834,48.44,39.06,39.06,Mixed_Density
37240038,33.0279237,73.6010809,100.0,100.0,100.0,High_Density
37220189,32.5939485,73.0459834,48.44,39.06,39.06,Mixed_Density
37230252,33.132055,73.4180866,100.0,100.0,100.0,High_Density
35220419,31.5831841,74.3184836,100.0,100.0,100.0,High_Density
35210018,31.4729999,74.3108542,100.0,100.0,100.0,High_Density
35220514,31.5831841,74.3184836,100.0,100.0,100.0,High_Density
35220117,31.5831841,74.3184836,100.0,100.0,100.0,High_Density
35210242,31.5221005,74.3790353,100.0,100.0,100.0,High_Density
36110191,30.1823296,71.4654311,100.0,100.0,100.0,High_Density
36130129,,,,,,NoData
36120213,,,,,,NoData
36110319,30.1823296,71.4654311,100.0,100.0,100.0,High_Density
36130150,,,,,,NoData
38240666,,,,,,NoData
38210737,32.2903666,72.3515792,100.0,100.0,100.0,High_Density
38220306,31.8800081,71.9012116,100.0,100.0,100.0,High_Density
38230581,32.3390586,71.8817521,100.0,100.0,100.0,High_Density
38210266,32.2903666,72.3515792,100.0,100.0,100.0,High_Density
34220811,32.8100237,73.8663245,100.0,100.0,100.0,High_Density
34210207,32.5627852,74.064535,100.0,100.0,100.0,High_Density
34210069,32.5627852,74.064535,100.0,100.0,100.0,High_Density
34210184,32.5627852,74.064535,100.0,100.0,100.0,High_Density
34220439,32.8100237,73.8663245,100.0,100.0,100.0,High_Density
35610189,31.4548712,73.7090967,100.0,100.0,100.0,High_Density
35641050,31.7169296,73.3760623,100.0,100.0,100.0,High_Density
35640650,31.7169296,73.3760623,100.0,100.0,100.0,High_Density
35610539,31.4548712,73.7090967,100.0,100.0,100.0,High_Density
35610336,31.4548712,73.7090967,100.0,100.0,100.0,High_Density
31310562,28.4285056,70.3257913,100.0,100.0,100.0,High_Density
31330241,28.4237165,70.3108196,100.0,100.0,100.0,High_Density
31340354,,,,,,NoData
31320695,,,,,,NoData
31310075,28.4285056,70.3257913,100.0,100.0,100.0,High_Density
31130398,29.190482,72.8553692,0.0,0.0,0.0,Low_Density
31130369,29.190482,72.8553692,0.0,0.0,0.0,Low_Density
31110050,29.9935922,73.2527621,100.0,100.0,100.0,High_Density
31130278,29.190482,72.8553692,0.0,0.0,0.0,Low_Density
31140259,29.9603051,73.2533515,100.0,100.0,100.0,High_Density
33230515,30.8349067,72.0764093,100.0,100.0,100.0,High_Density
33220691,31.2777606,72.3213727,100.0,100.0,100.0,High_Density
33230065,30.8349067,72.0764093,100.0,100.0,100.0,High_Density
33220019,31.2777606,72.3213727,100.0,100.0,100.0,High_Density
33250398,31.1445463,71.8576839,0.0,0.0,0.0,Low_Density
34630333,32.578007,73.4796617,100.0,100.0,100.0,High_Density
34630071,32.578007,73.4796617,100.0,100.0,100.0,High_Density
34620292,,,,,,NoData
34620216,,,,,,NoData
34620121,,,,,,NoData
33410296,,,,,,NoData
33410240,,,,,,NoData
33430143,31.8235842,72.7989125,100.0,100.0,100.0,High_Density
33420119,31.7309524,72.9834213,100.0,100.0,100.0,High_Density
33420110,31.7309524,72.9834213,100.0,100.0,100.0,High_Density
32230667,30.9681007,70.9433836,100.0,100.0,100.0,High_Density
32220320,,,,,,NoData
32230109,30.9681007,70.9433836,100.0,100.0,100.0,High_Density
32210111,30.9656881,70.9459094,100.0,100.0,100.0,High_Density
32220247,,,,,,NoData
32122060,,,,,,NoData
32130307,,,,,,NoData
32130225,,,,,,NoData
32130580,,,,,,NoData
32120673,,,,,,NoData
32320476,30.405512,70.937831,,100.0,100.0,High_Density
32310166,30.061283,71.1901326,100.0,100.0,100.0,High_Density
32320579,,,,,,NoData
32320475,,,,,,NoData
32330189,30.084183,71.1939667,100.0,90.62,90.62,High_Density
36420223,30.3022528,71.9278916,100.0,100.0,100.0,High_Density
36420019,30.3022528,71.9278916,100.0,100.0,100.0,High_Density
36410034,30.3409282,71.90509,100.0,85.94,85.94,High_Density
36430337,30.4389367,72.3550547,100.0,100.0,100.0,High_Density
36410376,30.3409282,71.90509,100.0,85.94,85.94,High_Density
39210362,30.3550157,73.3951195,100.0,100.0,100.0,High_Density
39220416,30.2944504,73.0589418,100.0,100.0,100.0,High_Density
39220307,30.2944504,73.0589418,100.0,100.0,100.0,High_Density
39220400,30.2944504,73.0589418,100.0,100.0,100.0,High_Density
39220269,30.2944504,73.0589418,100.0,100.0,100.0,High_Density
36620075,,,,,,NoData
36630255,29.8068303,71.7210552,0.0,87.5,87.5,High_Density
36610037,29.5403844,71.6230143,100.0,100.0,100.0,High_Density
36610049,29.5403844,71.6230143,100.0,100.0,100.0,High_Density
36630155,29.8068303,71.7210552,0.0,87.5,87.5,High_Density
32410358,29.6384224,70.5772492,96.88,93.75,93.75,High_Density
32420367,29.1002542,70.3378699,100.0,100.0,100.0,High_Density
32420389,29.1002542,70.3378699,100.0,100.0,100.0,High_Density
32430225,28.78785,70.00177,67.19,70.31,70.31,High_Density
32410347,29.6384224,70.5772492,96.88,93.75,93.75,High_Density
39110291,,,,,,NoData
39110439,,,,,,NoData
39120475,30.6483426,73.098434,100.0,100.0,100.0,High_Density
39110165,,,,,,NoData
39120117,30.6483426,73.098434,100.0,100.0,100.0,High_Density
34520617,31.9000019,73.2713766,100.0,100.0,100.0,High_Density
34520039,31.9000019,73.2713766,100.0,100.0,100.0,High_Density
34520137,31.9000019,73.2713766,100.0,100.0,100.0,High_Density
34510043,32.0747092,73.6917073,100.0,100.0,100.0,High_Density
34520543,31.9000019,73.2713766,100.0,100.0,100.0,High_Density
37140021,33.4317702,72.0196309,100.0,100.0,100.0,High_Density
33221214,31.2777606,72.3213727,100.0,100.0,100.0,High_Density
34220031,32.8100237,73.8663245,100.0,100.0,100.0,High_Density
31120113,29.7945611,72.857779,100.0,100.0,100.0,High_Density
36430394,30.4389367,72.3550547,100.0,100.0,100.0,High_Density
34110497,,,,,,NoData
32210064,30.9656881,70.9459094,100.0,100.0,100.0,High_Density
33140491,31.3711401,73.0706582,100.0,100.0,100.0,High_Density
36420009,30.3022528,71.9278916,100.0,100.0,100.0,High_Density
34510262,32.0747092,73.6917073,100.0,100.0,100.0,High_Density
39110150,30.530163,72.678457,100.0,100.0,100.0,High_Density
