EMIS_Code,School_Name,District,Tehsil,Area_Used,OSM_Type,OSM_ID,OSM_Name,OSM_Latitude,OSM_Longitude,OSM_URL,Distance_km,Distance_Reference,Similarity_Score,Token_Jaccard,Token_Containment,String_Ratio,Confidence_Tier,Reviewer_Decision,Status
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,9698857929,Chak No 216P,28.071285,69.962438,https://www.openstreetmap.org/node/9698857929,113.6,tehsil sibling median (3 schools),0.667,0.2,0.5,0.667,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,4520352290,Chak 99/P,28.445519,70.383089,https://www.openstreetmap.org/node/4520352290,55.2,tehsil sibling median (3 schools),0.571,0.167,0.333,0.571,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1321653766,Tameer e Milat,28.298155,70.129898,https://www.openstreetmap.org/way/1321653766,84.8,tehsil sibling median (3 schools),0.308,0.0,0.0,0.308,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,840895942,Govt Boys Lower Secondary School Malook Wali,28.134679,69.536804,https://www.openstreetmap.org/way/840895942,143.5,tehsil sibling median (3 schools),0.276,0.0,0.0,0.276,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,5502039522,Hassan Abad,28.600631,70.207218,https://www.openstreetmap.org/node/5502039522,62.4,tehsil sibling median (3 schools),0.261,0.0,0.0,0.261,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,760494993,BeaconHouse School Systems,28.379809,70.335721,https://www.openstreetmap.org/way/760494993,63.5,tehsil sibling median (3 schools),0.194,0.0,0.0,0.194,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291259222,(unnamed amenity=school POI),28.771607,70.81356,https://www.openstreetmap.org/way/1291259222,1.5,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291250874,(unnamed amenity=school POI),28.875024,70.456399,https://www.openstreetmap.org/way/1291250874,37.8,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,327889680,(unnamed amenity=school POI),28.424511,70.317029,https://www.openstreetmap.org/way/327889680,61.7,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,4520352290,Chak 99/P,28.445519,70.383089,https://www.openstreetmap.org/node/4520352290,55.2,tehsil sibling median (3 schools),0.667,0.167,0.333,0.667,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,9698857929,Chak No 216P,28.071285,69.962438,https://www.openstreetmap.org/node/9698857929,113.6,tehsil sibling median (3 schools),0.571,0.2,0.5,0.571,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,6357932085,Dare Arqam,29.233051,71.06374,https://www.openstreetmap.org/node/6357932085,57.7,tehsil sibling median (3 schools),0.273,0.0,0.0,0.273,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",node,5502039522,Hassan Abad,28.600631,70.207218,https://www.openstreetmap.org/node/5502039522,62.4,tehsil sibling median (3 schools),0.261,0.0,0.0,0.261,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1321653766,Tameer e Milat,28.298155,70.129898,https://www.openstreetmap.org/way/1321653766,84.8,tehsil sibling median (3 schools),0.231,0.0,0.0,0.231,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1220519764,The Doctors' Public School,28.442484,70.349976,https://www.openstreetmap.org/way/1220519764,58.0,tehsil sibling median (3 schools),0.211,0.0,0.0,0.211,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291259222,(unnamed amenity=school POI),28.771607,70.81356,https://www.openstreetmap.org/way/1291259222,1.5,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291250874,(unnamed amenity=school POI),28.875024,70.456399,https://www.openstreetmap.org/way/1291250874,37.8,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,"district bbox (Rahim Yar Khan District, rel 16117645)",way,327889680,(unnamed amenity=school POI),28.424511,70.317029,https://www.openstreetmap.org/way/327889680,61.7,tehsil sibling median (3 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",node,5502032222,Government Primary School Yaran Khan Chandiya,28.633285,70.209572,https://www.openstreetmap.org/node/5502032222,32.2,district sibling median (6 schools),0.462,0.0,0.0,0.462,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",node,6357932085,Dare Arqam,29.233051,71.06374,https://www.openstreetmap.org/node/6357932085,92.0,district sibling median (6 schools),0.4,0.0,0.0,0.4,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",node,5502039522,Hassan Abad,28.600631,70.207218,https://www.openstreetmap.org/node/5502039522,31.6,district sibling median (6 schools),0.387,0.0,0.0,0.387,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",way,840895942,Govt Boys Lower Secondary School Malook Wali,28.134679,69.536804,https://www.openstreetmap.org/way/840895942,107.4,district sibling median (6 schools),0.378,0.0,0.0,0.378,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1321653766,Tameer e Milat,28.298155,70.129898,https://www.openstreetmap.org/way/1321653766,48.0,district sibling median (6 schools),0.294,0.0,0.0,0.294,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",node,4520352290,Chak 99/P,28.445519,70.383089,https://www.openstreetmap.org/node/4520352290,18.4,district sibling median (6 schools),0.276,0.0,0.0,0.276,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",way,327889680,(unnamed amenity=school POI),28.424511,70.317029,https://www.openstreetmap.org/way/327889680,24.9,district sibling median (6 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291250874,(unnamed amenity=school POI),28.875024,70.456399,https://www.openstreetmap.org/way/1291250874,36.5,district sibling median (6 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,"district bbox (Rahim Yar Khan District, rel 16117645)",way,1291259222,(unnamed amenity=school POI),28.771607,70.81356,https://www.openstreetmap.org/way/1291259222,37.1,district sibling median (6 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",node,1921954007,Moona Grammar School,30.175495,71.491084,https://www.openstreetmap.org/node/1921954007,95.5,district sibling median (1 schools),0.476,0.0,0.0,0.476,Possible,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",node,4998086916,Al Rahman Public School,29.760256,71.065831,https://www.openstreetmap.org/node/4998086916,98.9,district sibling median (1 schools),0.471,0.0,0.0,0.471,Possible,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",way,902844407,Kirri Afghanan High School,30.196061,71.46364,https://www.openstreetmap.org/way/902844407,92.2,district sibling median (1 schools),0.455,0.0,0.0,0.455,Possible,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",way,900553092,Government Vocational School,30.198226,71.479824,https://www.openstreetmap.org/way/900553092,93.5,district sibling median (1 schools),0.444,0.0,0.0,0.444,Possible,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",node,1921953014,Garison Grammer School,30.17056,71.478467,https://www.openstreetmap.org/node/1921953014,94.7,district sibling median (1 schools),0.435,0.0,0.0,0.435,Possible,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",way,182024880,nishat school,30.211737,71.46938,https://www.openstreetmap.org/way/182024880,91.9,district sibling median (1 schools),0.429,0.0,0.0,0.429,Possible,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",way,387626115,(unnamed amenity=school POI),30.058381,70.624699,https://www.openstreetmap.org/way/387626115,54.8,district sibling median (1 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",way,1433082477,(unnamed amenity=school POI),29.805058,70.621852,https://www.openstreetmap.org/way/1433082477,83.0,district sibling median (1 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",way,182024874,(unnamed amenity=school POI),30.213207,71.472373,https://www.openstreetmap.org/way/182024874,92.1,district sibling median (1 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
32110506,GPS BAGH ALI MOLE,D.G. KHAN,D.G.KHAN,"division bbox (Dera Ghazi Khan Division, rel 16338539)",way,902844411,Govt. Girls High School Bagh Bagi,30.186266,71.464253,https://www.openstreetmap.org/way/902844411,92.7,district sibling median (1 schools),0.636,0.25,0.5,0.636,Possible,,NEEDS MANUAL VERIFICATION - not accepted
