Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Fill_Rate_Percent,Total_Enrolled,Total_Present,Attendance_Rate_Percent,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Teacher_Presence_Rate_Percent,Teacher_Absence_Rate_Percent,Student_Absence_Rate_Percent,Functional_Toilet_Rate_Percent,Boundary_Wall_Indicator,Electricity_Indicator,Drinking_Water_Indicator,Government_Monitoring_Risk_Score,Audit_Priority,Derived_Features_Source
Real,33110019,GPS CHAK 214 RB E,FAISALABAD,FAISALABAD CITY,Primary,Open,No,9,8,5,3,88.89,290,269,92.76,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,12-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4196641,62.5,37.5,7.24,100.0,1.0,1,1,7.46,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33110371,GGHS MC PEOPLES COLONY FAISALABAD,FAISALABAD,FAISALABAD CITY,High,Open,No,37,28,26,2,75.68,763,633,82.96,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,05-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4237333,92.86,7.14,17.04,100.0,1.0,1,1,4.03,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33150025,GPS 141 RB II,FAISALABAD,CHAK JHUMARA,Primary,Open,No,8,8,3,1,100.0,214,191,89.25,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,27-04-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4300887/list/,37.5,12.5,10.75,100.0,1.0,1,1,3.88,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33140544,GHSS 209/RB,FAISALABAD,FAISALABAD SADDAR,H.Sec.,Open,No,49,27,27,0,55.1,684,635,92.84,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,09-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4189848,100.0,0.0,7.16,100.0,1.0,1,1,1.19,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33120254,GPS 434 GB,FAISALABAD,JARANWALA,Primary,Open,No,7,4,4,0,57.14,221,207,93.67,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,27-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4228899,100.0,0.0,6.33,100.0,1.0,1,1,1.05,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33160266,GGPS 595 GB,FAISALABAD,TANDLIAN WALA,Primary,Open,No,5,2,2,0,40.0,106,105,99.06,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4194793,100.0,0.0,0.94,100.0,1.0,1,1,0.16,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33130129,GPS 209 GB,FAISALABAD,SAMUNDARI,Primary,Open,No,8,3,3,0,37.5,153,150,98.04,7,7,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4194836,100.0,0.0,1.96,100.0,1.0,1,1,0.33,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35210591,GGPS SOHARWARDIA,LAHORE,SHALIMAR,Primary,Open,No,4,2,2,0,50.0,158,140,88.61,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Average,AEO last visited 29-10-2025; building on rent; maintenance/paint required; two classes conducted in open area.,17-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4129169,100.0,0.0,11.39,100.0,1.0,1,1,1.9,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35220159,GES MAZAR BABA REHMAT SHAH (EX-MCL),LAHORE,RAIWIND,Middle,Open,No,18,13,11,2,72.22,667,578,86.66,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Furniture required/repairs noted; some whitewash and window repair work required.,18-09-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4067971,84.62,15.38,13.34,100.0,1.0,1,1,4.79,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35210798,GGES SHALIMAR TOWN (EX-MCL),LAHORE,SHALIMAR,Middle,Open,No,17,16,4,12,94.12,559,66,11.81,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,12 PST teachers of primary section were on examinations duty; 493 students were on examinations off.,25-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4259043/list/,25.0,75.0,88.19,100.0,1.0,1,1,27.2,Medium,Calculated from official PMIU/PESRP school-visit fields in Source_URL
