EMIS_Code,Latitude,Longitude
35210824,31.5831841,74.3184836
35210131,31.4729999,74.3108542
35220183,31.2443583,74.2138126
35220056,31.2443583,74.2138126
32410563,29.6384224,70.5772492
31210225,29.2059591,71.4002392
39330018,30.8782508,73.5998771
31210206,29.2059591,71.4002392
32410242,29.6384224,70.5772492
37350183,33.8058076,73.5237431
32110506,,
32320754,,
32220564,,
37140013,33.4317702,72.0196309
32430052,28.78785,70.00177
37350027,33.8058076,73.5237431
39320043,30.80528,73.4442836
36120106,29.678265,71.252432
31150399,30.0061639,73.2661567
31150407,30.0061639,73.2661567
31320431,28.6764261,70.7270481
37350144,33.8058076,73.5237431
34120401,32.0346163,74.3438688
34140427,32.066431,74.142221
34120345,32.0346163,74.3438688
34140293,,
34120250,32.0346163,74.3438688
31250141,29.579302,72.2453333
31210371,29.2059591,71.4002392
31240172,29.3483637,71.6954115
31230405,29.401877,71.8123884
31260023,,
34410357,32.1712427,74.9087862
34420044,32.2631481,75.1604548
34430575,32.3427221,74.9020032
34420506,32.2631481,75.1604548
34420203,32.2631481,75.1604548
34310578,32.3322279,74.3512339
34310564,32.3322279,74.3512339
34320411,32.4846576,74.5442398
34320591,32.4846576,74.5442398
34340049,32.4756481,74.3529135
35110217,30.9631954,73.9807183
35130241,31.0211712,73.8529652
35120754,31.1178863,74.442669
35110260,30.9631954,73.9807183
35130178,31.0211712,73.8529652
38330793,32.2923004,71.3687782
38331081,32.2923004,71.3687782
38310049,32.6750144,71.2761153
38320408,32.5793897,71.5353168
38320291,32.5793897,71.5353168
37140182,33.4317702,72.0196309
37130189,33.2437103,72.2686198
37110078,33.77451,72.3516178
37150029,33.8150627,72.7030379
37130200,33.2437103,72.2686198
38130070,31.3871859,71.4392176
38140867,31.7855908,71.1088112
38110068,31.6221111,71.0650584
38110902,31.6221111,71.0650584
38130099,31.3871859,71.4392176
37340027,33.7422793,72.8145203
37370224,33.4145534,73.3782841
37330191,33.6040754,73.0483807
37370486,33.4145534,73.3782841
37360304,33.2590018,73.3076163
37420373,32.9320074,72.8308888
37410001,32.932827,72.8629763
37410518,32.932827,72.8629763
37420431,32.9320074,72.8308888
37410488,32.932827,72.8629763
33140283,31.3711401,73.0706582
33140422,31.259546,72.9367562
33110139,31.386296,73.0676444
33130285,31.4103462,73.0936494
33130355,31.4103462,73.0936494
36310105,30.1553358,72.6815187
36310201,30.1553358,72.6815187
36310054,30.1553358,72.6815187
36320664,29.8073001,72.1769109
36310268,30.1553358,72.6815187
39330085,30.8782508,73.5998771
39310403,30.6691771,73.6513733
39320147,30.80528,73.4442836
39320499,30.80528,73.4442836
39330731,30.8782508,73.5998771
35450436,31.7313228,73.577162
35620213,31.7313228,73.577162
35420720,31.8010863,74.2540999
35620614,31.7313228,73.577162
35420117,31.8010863,74.2540999
33340199,30.6478,72.51244
33320089,,
33310319,,
33310170,30.910778,72.580153
33340414,,
38420606,32.0836514,72.676461
38430251,32.2691358,72.4717312
38450476,31.9729496,72.3296061
38420348,32.0836514,72.676461
38450058,31.9729496,72.3296061
37240376,33.0279237,73.6010809
37220251,32.5939485,73.0459834
37240038,33.0279237,73.6010809
37220189,32.5939485,73.0459834
37230252,33.132055,73.4180866
35220419,31.5831841,74.3184836
35210018,31.4729999,74.3108542
35220514,31.5831841,74.3184836
35220117,31.5831841,74.3184836
35210242,31.5221005,74.3790353
36110191,30.1823296,71.4654311
36130129,,
36120213,,
36110319,30.1823296,71.4654311
36130150,,
38240666,,
38210737,32.2903666,72.3515792
38220306,31.8800081,71.9012116
38230581,32.3390586,71.8817521
38210266,32.2903666,72.3515792
34220811,32.8100237,73.8663245
34210207,32.5627852,74.064535
34210069,32.5627852,74.064535
34210184,32.5627852,74.064535
34220439,32.8100237,73.8663245
35610189,31.4548712,73.7090967
35641050,31.7169296,73.3760623
35640650,31.7169296,73.3760623
35610539,31.4548712,73.7090967
35610336,31.4548712,73.7090967
31310562,28.4285056,70.3257913
31330241,28.4237165,70.3108196
31340354,,
31320695,,
31310075,28.4285056,70.3257913
31130398,29.190482,72.8553692
31130369,29.190482,72.8553692
31110050,29.9935922,73.2527621
31130278,29.190482,72.8553692
31140259,29.9603051,73.2533515
33230515,30.8349067,72.0764093
33220691,31.2777606,72.3213727
33230065,30.8349067,72.0764093
33220019,31.2777606,72.3213727
33250398,31.1445463,71.8576839
34630333,32.578007,73.4796617
34630071,32.578007,73.4796617
34620292,,
34620216,,
34620121,,
33410296,,
33410240,,
33430143,31.8235842,72.7989125
33420119,31.7309524,72.9834213
33420110,31.7309524,72.9834213
32230667,30.9681007,70.9433836
32220320,,
32230109,30.9681007,70.9433836
32210111,30.9656881,70.9459094
32220247,,
32122060,,
32130307,,
32130225,,
32130580,,
32120673,,
32320476,30.405512,70.937831
32310166,30.061283,71.1901326
32320579,,
32320475,,
32330189,30.084183,71.1939667
36420223,30.3022528,71.9278916
36420019,30.3022528,71.9278916
36410034,30.3409282,71.90509
36430337,30.4389367,72.3550547
36410376,30.3409282,71.90509
39210362,30.3550157,73.3951195
39220416,30.2944504,73.0589418
39220307,30.2944504,73.0589418
39220400,30.2944504,73.0589418
39220269,30.2944504,73.0589418
36620075,,
36630255,29.8068303,71.7210552
36610037,29.5403844,71.6230143
36610049,29.5403844,71.6230143
36630155,29.8068303,71.7210552
32410358,29.6384224,70.5772492
32420367,29.1002542,70.3378699
32420389,29.1002542,70.3378699
32430225,28.78785,70.00177
32410347,29.6384224,70.5772492
39110291,,
39110439,,
39120475,30.6483426,73.098434
39110165,,
39120117,30.6483426,73.098434
34520617,31.9000019,73.2713766
34520039,31.9000019,73.2713766
34520137,31.9000019,73.2713766
34510043,32.0747092,73.6917073
34520543,31.9000019,73.2713766
37140021,33.4317702,72.0196309
33221214,31.2777606,72.3213727
34220031,32.8100237,73.8663245
31120113,29.7945611,72.857779
36430394,30.4389367,72.3550547
34110497,,
32210064,30.9656881,70.9459094
33140491,31.3711401,73.0706582
36420009,30.3022528,71.9278916
34510262,32.0747092,73.6917073
39110150,30.530163,72.678457
