Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL
Real (Census),37350183,GGPS CHALAWRA UPPER,RAWALPINDI,KOTLI SATTIAN,Primary,Functional,No,,4,,,38,,4,4,No,Yes-Wholly,No,Partial Building is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32110506,GPS BAGH ALI MOLE,D.G. KHAN,D.G.KHAN,Primary,Functional,No,,4,,,48,,2,1,Yes-Wholly,No,No,Building Is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32320754,GPS THATHI HAMZA NO. 2,MUZAFFARGARH,KOT ADU,Primary,Functional,No,,3,,,23,,2,0,Yes-Wholly,No,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32220564,GMMS AOULAKH NASHEB,LAYYAH,KAROR LALISAN,sMosque,Functional,No,,4,,,113,,1,1,No,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37140013,GHS TARAP,ATTOCK,JAND,High,Functional,No,,17,,,407,,7,7,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32430052,GPS HAFEEZ ABAD,RAJANPUR,ROJHAN,Primary,Functional,No,,5,,,170,,2,2,Yes-Wholly,No,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37350027,GES OJANA,RAWALPINDI,KOTLI SATTIAN,Middle,Functional,No,,5,,,68,,4,4,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39320043,GHS CHAK NO.12/1-R,OKARA,OKARA,High,Functional,No,,11,,,303,,6,6,No,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36120106,GPS TERI WALA VILLAGE GANWEN SHUJABAD,MULTAN,SHUJA ABAD,Primary,Functional,No,,5,,,267,,2,2,No,Yes-Wholly,Yes-Wholly,Building Is Dangerous,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31150399,GMMS SAMOO WALI,BAHAWALNAGAR,MINCHINABAD,sMosque,Functional,No,,2,,,88,,0,0,No,No,Yes-Wholly,Partial Building is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31150407,GMMS MANASIRY RAM,BAHAWALNAGAR,MINCHINABAD,sMosque,Functional,No,,1,,,48,,0,0,No,No,Yes-Wholly,Building Is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31320431,GGPS BASTI HAFIZ GHULAM QADIR,RAHIMYAR KHAN,LIAQATPUR,Primary,Functional,No,,4,,,41,,2,0,Yes-Wholly,No,Yes-Wholly,Partial Building is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37350144,GGES CHOWKI WAGHAL,RAWALPINDI,KOTLI SATTIAN,Middle,Functional,No,,9,,,227,,3,3,No,Yes-Wholly,No,Partial Building is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34120401,GMPS OUJLA KALAN,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,6,,,179,,4,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34140427,GGHS MURALI WALA,GUJRANWALA,NOSHERA VIRKAN,High,Functional,No,,23,,,1245,,21,21,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34120345,GMPS CHAK SITTIA,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,3,,,151,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34140293,GGPS DEEPAY PUR,GUJRANWALA,NOSHERA VIRKAN,Primary,Functional,No,,2,,,33,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34120250,GPS KALAY WALA,GUJRANWALA,WAZIRABAD,Primary,Functional,No,,3,,,137,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31250141,GGPS BONGA YARANI,BAHAWALPUR,KHAIRPUR TAMEWALI,Primary,Functional,No,,,,,109,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31210371,GGPS BASTI SULEMAN,BAHAWALPUR,AHMADPUR EAST,Primary,Functional,No,,,,,367,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31240172,GPS CHAK NO.20/DNB (W),BAHAWALPUR,YAZMAN,Primary,Functional,No,,5,,,91,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31230405,GGPS Riaz Khan Basti Chouhn,BAHAWALPUR,HASILPUR,Primary,Functional,No,,3,,,53,,2,2,Yes-Wholly,No,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,High,Functional,No,,13,,,420,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34410357,GGPS TOTEWALI,NAROWAL,NAROWAL,Primary,Functional,No,,6,,,116,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34420044,GGHS GUNGRAN,NAROWAL,SHAKARGARH,High,Functional,No,,13,,,349,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34430575,GGMPS BORI,NAROWAL,ZAFARWAL,Primary,Functional,No,,6,,,94,,5,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34420506,GGPS JODHEY,NAROWAL,SHAKARGARH,Primary,Functional,No,,6,,,152,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34420203,GPS TONDI,NAROWAL,SHAKARGARH,Primary,Functional,No,,3,,,77,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34310578,GMPS JANDUKAY GORAYA,SIALKOT,DASKA,Primary,Functional,No,,5,,,141,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34310564,GGES CHAK GILLAN SHARQI,SIALKOT,DASKA,Middle,Functional,No,,7,,,264,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34320411,GMPS ANOOLA,SIALKOT,PASRUR,Primary,Functional,No,,,,,182,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34320591,GGPS DATA ZAIDKA,SIALKOT,PASRUR,Primary,Functional,No,,,,,122,,2,0,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34340049,GGHS BHOPAL WALA,SIALKOT,SAMBRIAL,High,Functional,No,,32,,,1054,,16,16,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35110217,GPS JAJJAL,KASUR,CHUNIAN,Primary,Functional,No,,5,,,125,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35130241,GPS ALPA SADHARI,KASUR,PATTOKI,Primary,Functional,No,,4,,,73,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35120754,GGPS CHAH KANDLAN WALA,KASUR,KASUR,Primary,Functional,No,,3,,,120,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35110260,GPS FATEH MUHAMMAD KALAN,KASUR,CHUNIAN,Primary,Functional,No,,,,,217,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
