Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL
Real (Census),36310054,GHS CHAK NO.181 EB,VEHARI,BUREWALA,High,Functional,No,,17,,,486,,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36320664,GGPS ARY PUR,VEHARI,MAILSI,Primary,Functional,No,,3,,,95,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36310268,GPS 365 EB,VEHARI,BUREWALA,Primary,Functional,No,,4,,,149,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39330085,GES CHAK NO. 16/1-AL,OKARA,RENALA KHURD,Middle,Functional,No,,11,,,445,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39310403,GPS CHISHTI MOLIA,OKARA,DEPALPUR,Primary,Functional,No,,3,,,168,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39320147,GGES SOBAY WALA,OKARA,OKARA,Middle,Functional,No,,9,,,204,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39320499,GGPS 36-A/G.D,OKARA,OKARA,Primary,Functional,No,,5,,,164,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),39330731,GGPS KALLI JAMAL SINGH (PSSP),OKARA,RENALA KHURD,Primary,Functional,No,,,,,195,,1,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35450436,GPS DONGAY,SHEIKHUPURA,SAFDARABAD,Primary,Functional,No,,,,,65,,2,2,Yes-Wholly,No,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35620213,GGES RAHMAN ABAD,SHEIKHUPURA,SAFDARABAD,Middle,Functional,No,,8,,,328,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35420720,GPS KAMBOH COLONY,SHEIKHUPURA,MURIDKE,Primary,Functional,No,,,,,364,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35620614,GPS CHAK JAID 16 JAID,SHEIKHUPURA,SAFDARABAD,Primary,Functional,No,,8,,,344,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35420117,GGES HERDO SEHOLE MUSLIM,SHEIKHUPURA,MURIDKE,Middle,Functional,No,,10,,,104,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33340199,GES CHAK 319 GB I,T.T.SINGH,PIR MAHAL,Middle,Functional,No,,16,,,550,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33320089,GGES CHAK 706 GB,T.T.SINGH,KAMALIA,Middle,Functional,No,,7,,,205,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33310319,GMPS CHAK 161 GB I,T.T.SINGH,GOJRA,Primary,Functional,No,,6,,,180,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33310170,GHS CHAK 361 JB,T.T.SINGH,GOJRA,High,Functional,No,,18,,,438,,12,12,Yes-Wholly,Yes-Wholly,Yes-Wholly,Complete Building Needs Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33340414,GGPS CHAK 752 GB,T.T.SINGH,PIR MAHAL,Primary,Functional,No,,4,,,155,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38420606,GGES CHAK NO.29 NB,SARGODHA,SARGODHA,Middle,Functional,No,,9,,,193,,7,7,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38430251,GMPS BUSLANA,SARGODHA,SHAHPUR,Primary,Functional,No,,,,,102,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38450476,GMPS BOHLRI WALA,SARGODHA,SAHIWAL,Primary,Functional,No,,5,,,168,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38420348,GPS CHAK NO.93 SB,SARGODHA,SARGODHA,Primary,Functional,No,,4,,,112,,4,4,No,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38450058,GES PUBLIC SAHIWAL,SARGODHA,SAHIWAL,Middle,Functional,No,,12,,,319,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37240376,GGPS RAMDIAL,JHELUM,DINA,Primary,Functional,No,,4,,,66,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37220251,GGMPS ESSAWAL,JHELUM,PIND DADAN KHAN,Primary,Functional,No,,5,,,87,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Partial Building is Dangerous,dangerous_classrooms (source field): 3,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37240038,GGHS ROHTAS,JHELUM,DINA,High,Functional,No,,12,,,243,,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37220189,GGMPS SHER PUR,JHELUM,PIND DADAN KHAN,Primary,Functional,No,,7,,,175,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 4,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),37230252,GGPS CHABBER SYEDAN,JHELUM,SOHAWA,Primary,Functional,No,,3,,,30,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,dangerous_classrooms (source field): 3,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35220419,GGES MODEL BAGH MUNSHI LADHA.,LAHORE,CITY,Middle,Functional,No,,9,,,683,,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35210018,GHS AWAMI COLONY CHUNGI AMER SIDHU LAHORE,LAHORE,MODEL TOWN,High,Functional,No,,14,,,421,,7,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35220514,GMMS PARACHA COLONY,LAHORE,CITY,Primary,Functional,No,,2,,,91,,1,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35220117,GES MUGHLIA PARK SHAHDARA LAHORE,LAHORE,CITY,Middle,Functional,No,,24,,,1080,,12,12,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,dangerous_classrooms (source field): 2,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35210242,GES ITTEHAD TOWN DOGACH,LAHORE,CANTT,Middle,Functional,No,,38,,,1515,,15,13,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36110191,GPS MC AWAN PURA,MULTAN,MULTAN CITY,Primary,Functional,No,,5,,,106,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36130129,GGES BASTI JALIL MULTAN P/O BASTI JALIL,MULTAN,MULTAN SADAR,Middle,Functional,No,,10,,,165,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36120213,GGPS NAWAN SHER SHUJABAD DISTT. MULTAN,MULTAN,SHUJA ABAD,Primary,Functional,No,,6,,,185,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36110319,GGPS RAILWAY COLONY NO: 2,MULTAN,MULTAN CITY,Primary,Functional,No,,4,,,200,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),36130150,GPS KOTLA SADAT,MULTAN,MULTAN SADAR,Primary,Functional,No,,4,,,127,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38240666,GGPS DHOK PHATIAL,KHUSHAB,NAUSHERA,Primary,Functional,No,,,,,4,,1,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38210737,GGPS MOHALLAH MASTIAL PADHRAR,KHUSHAB,KHUSHAB,Primary,Functional,No,,3,,,76,,1,1,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38220306,GPS CHAK NO. 34 MB,KHUSHAB,NOORPUR THAL,Primary,Functional,No,,3,,,23,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38230581,GGES SHAH WALA SHUMALI,KHUSHAB,QUAIDABAD,Middle,Functional,No,,6,,,188,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),38210266,GMPS CHAK NO 60 MB,KHUSHAB,KHUSHAB,Primary,Functional,No,,4,,,103,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34220811,GHSS BAGIRAN WALA,GUJRAT,KHARIAN,H.Sec.,Functional,No,,23,,,456,,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34210207,GPS KALARA KHASA,GUJRAT,GUJRAT,Primary,Functional,No,,5,,,144,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34210069,GGHS KUNJAH,GUJRAT,GUJRAT,High,Functional,No,,43,,,1633,,16,16,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34210184,GGHS GILLAN WALA,GUJRAT,GUJRAT,High,Functional,No,,15,,,381,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 3,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34220439,GGPS KHAIR GHANSAR,GUJRAT,KHARIAN,Primary,Functional,No,,4,,,52,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Complete Building Needs Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35610189,GPS KOT MUHAMMAD HUSSAIN,NANKANA SAHIB,NANKANA SAHIB,Primary,Functional,No,,4,,,131,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35641050,GGPS DERA SHAHBAZ KHAN,NANKANA SAHIB,SANGLA HILL,Primary,Functional,No,,6,,,177,,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35640650,GPS SULTAN ABAD,NANKANA SAHIB,SANGLA HILL,Primary,Functional,No,,,,,59,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35610539,GGPS KOT BENIDAS,NANKANA SAHIB,NANKANA SAHIB,Primary,Functional,No,,6,,,207,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),35610336,GPS WARA LAHIB SINGH,NANKANA SAHIB,NANKANA SAHIB,Primary,Functional,No,,4,,,113,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31310562,GGES CHAK NO. 94/NP,RAHIMYAR KHAN,KHANPUR,Middle,Functional,No,,9,,,230,,7,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31330241,GPS CHAK 49/P (PSSP),RAHIMYAR KHAN,RAHIMYAR KHAN,Primary,Functional,No,,,,,17,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31340354,GPS MALIK KHAIR MUHAMMAD,RAHIMYAR KHAN,SADIQABAD,Primary,Functional,No,,4,,,199,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31320695,GGPS BASTI RAEES USMAN,RAHIMYAR KHAN,LIAQATPUR,Primary,Functional,No,,4,,,97,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31310075,GGES DIN PUR SHARIF,RAHIMYAR KHAN,KHANPUR,Middle,Functional,No,,11,,,351,,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31130398,GGPS CHAK NO 188/7-R E,BAHAWALNAGAR,FORT ABBAS,Primary,Functional,No,,4,,,132,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31130369,GGPS CHAK NO 291 HR,BAHAWALNAGAR,FORT ABBAS,Primary,Functional,No,,4,,,112,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31110050,GES FAROOQ ABAD,BAHAWALNAGAR,BAHAWALNAGAR,Middle,Functional,No,,12,,,226,,6,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31130278,GGPS 195 HB,BAHAWALNAGAR,FORT ABBAS,Primary,Functional,No,,4,,,118,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),31140259,GPS CHAK NO.32/3-R,BAHAWALNAGAR,HAROONABAD,Primary,Functional,No,,3,,,85,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Complete Building Needs Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33230515,GGPS SHORKOT CANTT NO. 1,JHANG,SHORKOT,Primary,Functional,No,,7,,,150,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33220691,GGPS KULKURAI NO. 2,JHANG,JHANG,Primary,Functional,No,,6,,,120,,4,4,Yes-Wholly,No,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33230065,GES MIRAK SIAL,JHANG,SHORKOT,Middle,Functional,No,,15,,,769,,8,8,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33220019,GHS PAKKAY WALA,JHANG,JHANG,High,Functional,No,,19,,,640,,8,8,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33250398,GPS DOSA,JHANG,18-HAZARI,Primary,Functional,No,,5,,,182,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34630333,GGPS GADGOR,MANDI BAHA UD DIN,PHALIA,Primary,Functional,No,,4,,,91,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34630071,GGHS BHOA HASAN,MANDI BAHA UD DIN,PHALIA,High,Functional,No,,12,,,466,,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34620292,GGPS MC DERA ROSHAN MBDIN,MANDI BAHA UD DIN,MANDI BAHUDDIN,Primary,Functional,No,,5,,,249,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34620216,GGPS KOT AHMAD SHAH,MANDI BAHA UD DIN,MANDI BAHUDDIN,Primary,Functional,No,,6,,,136,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),34620121,GPS BHACHER,MANDI BAHA UD DIN,MANDI BAHUDDIN,Primary,Functional,No,,6,,,136,,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33410296,GPS RAZA NAGAR,CHINIOT,BHOWANA,Primary,Functional,No,,4,,,160,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33410240,GPS CHAK NO 466 JB DEPUTY WALA,CHINIOT,BHOWANA,Primary,Functional,No,,4,,,135,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33430143,GPS BASTI WALA,CHINIOT,LALIAN,Primary,Functional,No,,4,,,256,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33420119,GGES BUKHARIAN,CHINIOT,CHINIOT,Middle,Functional,No,,12,,,340,,7,7,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),33420110,GGES EID GAH NO. 1 CHINIOT,CHINIOT,CHINIOT,Middle,Functional,No,,18,,,761,,12,12,Yes-Wholly,Yes-Wholly,Yes-Wholly,Complete Building Needs Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32230667,GPS CHAK NO. 125-A/TDA,LAYYAH,LAYYAH,Primary,Functional,No,,4,,,109,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32220320,GGES BASTI PITAFI,LAYYAH,KAROR LALISAN,Middle,Functional,No,,8,,,211,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32230109,GGHS CHAK NO.162/TDA,LAYYAH,LAYYAH,High,Functional,No,,16,,,680,,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32210111,GPS HAFIZ ABAD,LAYYAH,CHAUBARA,Primary,Functional,No,,4,,,101,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32220247,GGPS GARRAH SHUMALI,LAYYAH,KAROR LALISAN,Primary,Functional,No,,5,,,149,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32122060,GGPS Hayat Muhammad,D.G. KHAN,TAUNSA,Primary,Functional,No,,3,,,39,,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,dangerous_classrooms (source field): 1,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32130307,GPS BASTI YAQI,D.G. KHAN,KOT CHUTTA,Primary,Functional,No,,5,,,225,,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Needed Minor Repairing,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
Real (Census),32130225,GPS MIR NAGAR,D.G. KHAN,KOT CHUTTA,Primary,Functional,No,,4,,,168,,4,4,Yes-Wholly,Yes-Wholly,No,Satisfying,,Oct-2018 (Annual Census),https://opendata.com.pk/dataset/punjab-annual-school-census-report-2017-18 (PMIU/PESRP source)
