EMIS_Code,School_Name,Latitude,Longitude,Geocode_Source
34320411,GMPS ANOOLA,32.4846576,74.5442398,Nominatim-reverse (primary)
34320591,GGPS DATA ZAIDKA,32.4846576,74.5442398,Nominatim-reverse (primary)
34340049,GGHS BHOPAL WALA,32.4756481,74.3529135,Nominatim-reverse (residential)
35110217,GPS JAJJAL,30.9631954,73.9807183,Nominatim-reverse (residential)
35130241,GPS ALPA SADHARI,31.0211712,73.8529652,Nominatim-reverse (residential)
35120754,GGPS CHAH KANDLAN WALA,31.1178863,74.442669,Nominatim-reverse (station)
35110260,GPS FATEH MUHAMMAD KALAN,30.9631954,73.9807183,Nominatim-reverse (residential)
35130178,GPS KANVEEN BLAQA SING,31.0211712,73.8529652,Nominatim-reverse (residential)
38330793,GGES TIBBA MEHRBAN SHAH,32.2923004,71.3687782,Nominatim-reverse (station)
38331081,GGCMS CHAK NO.4 DB,32.2923004,71.3687782,Nominatim-reverse (station)
38310049,GHS DALLA MIR WALA,32.6750144,71.2761153,Nominatim-reverse (primary)
38320408,GPS SHEIKHAN WALA,32.5793897,71.5353168,Nominatim-reverse (station)
38320291,GPS MOUZA BAZAR,32.5793897,71.5353168,Nominatim-reverse (station)
37140182,GGPS JAND NO.1,33.4317702,72.0196309,Nominatim-reverse (residential)
37130189,GGES SARWAYA,33.2437103,72.2686198,Nominatim-reverse (tertiary)
37110078,GGHS SALAR,33.77451,72.3516178,Nominatim-reverse (station)
37150029,GPS CHUKRA,33.8150627,72.7030379,Nominatim-reverse (place_of_worship)
37130200,GGHS DHOK DHERA,33.2437103,72.2686198,Nominatim-reverse (tertiary)
38130070,GPS BORING AMAN ULLAH,31.3871859,71.4392176,Nominatim-reverse (tertiary)
38140867,GPS JHOKE HAJI,31.7855908,71.1088112,Nominatim-reverse (station)
38110068,GGES PIR ASHAB,31.6221111,71.0650584,Nominatim-reverse (station)
38110902,GPS MIAN ISA,31.6221111,71.0650584,Nominatim-reverse (station)
38130099,GPS SHAHI,31.3871859,71.4392176,Nominatim-reverse (tertiary)
37340027,GES ANWAR ABAD,33.7422793,72.8145203,Nominatim-reverse (station)
37370224,GPS TAREEL,33.4145534,73.3782841,Nominatim-reverse (secondary)
37330191,GGHS ADHWAL,33.6040754,73.0483807,Nominatim-reverse (stop)
37370486,GPS MANMORE,33.4145534,73.3782841,Nominatim-reverse (secondary)
37360304,GPS KURI DOLAL P.O KURI DOLAL,33.2590018,73.3076163,Nominatim-reverse (station)
37420373,GGPS NAKA REHAN,32.9320074,72.8308888,Nominatim-reverse (trunk)
37410001,GHSS PADSHAHAN,32.932827,72.8629763,Nominatim-reverse (trunk)
37410518,GGPS REHRA,32.932827,72.8629763,Nominatim-reverse (trunk)
37420431,GMMS MOHALLAH SAGRAL MULTAN KHURD,32.9320074,72.8308888,Nominatim-reverse (trunk)
37410488,GGPS MURID BALLA,32.932827,72.8629763,Nominatim-reverse (trunk)
33140283,GGES CHAK 66 JB-II ISLAM PURA,31.3711401,73.0706582,Nominatim-reverse (fuel)
33140422,GHS CHAK 199 RB,31.259546,72.9367562,Nominatim-reverse (school)
33110139,GGPS CHAK NO 217 RB ACHKERA,31.386296,73.0676444,Nominatim-reverse (school)
33130285,GES 205/GB,31.4103462,73.0936494,Nominatim-reverse (primary)
33130355,GHS CHAK NO. 530/GB FSD,31.4103462,73.0936494,Nominatim-reverse (primary)
36310105,GGES CHAK NO.106 EB,30.1553358,72.6815187,Nominatim-reverse (station)
36310201,GES CHAK NO.261/EB,30.1553358,72.6815187,Nominatim-reverse (station)
36310054,GHS CHAK NO.181 EB,30.1553358,72.6815187,Nominatim-reverse (station)
36320664,GGPS ARY PUR,29.8073001,72.1769109,Nominatim-reverse (station)
