EMIS_Code,School_Name,Latitude,Longitude,Geocode_Source
35640650,GPS SULTAN ABAD,31.7169296,73.3760623,Nominatim-reverse (primary)
35610539,GGPS KOT BENIDAS,31.4548712,73.7090967,Nominatim-reverse (station)
35610336,GPS WARA LAHIB SINGH,31.4548712,73.7090967,Nominatim-reverse (station)
31310562,GGES CHAK NO. 94/NP,28.4285056,70.3257913,Nominatim-reverse (primary)
31330241,GPS CHAK 49/P (PSSP),28.4237165,70.3108196,Nominatim-reverse (bank)
31340354,GPS MALIK KHAIR MUHAMMAD,,,Not Geocoded (no coordinates available)
31320695,GGPS BASTI RAEES USMAN,,,Not Geocoded (no coordinates available)
31310075,GGES DIN PUR SHARIF,28.4285056,70.3257913,Nominatim-reverse (primary)
31130398,GGPS CHAK NO 188/7-R E,29.190482,72.8553692,Nominatim-reverse (station)
31130369,GGPS CHAK NO 291 HR,29.190482,72.8553692,Nominatim-reverse (station)
31110050,GES FAROOQ ABAD,29.9935922,73.2527621,Nominatim-reverse (tertiary)
31130278,GGPS 195 HB,29.190482,72.8553692,Nominatim-reverse (station)
31140259,GPS CHAK NO.32/3-R,29.9603051,73.2533515,Nominatim-reverse (primary)
33230515,GGPS SHORKOT CANTT NO. 1,30.8349067,72.0764093,Nominatim-reverse (tertiary)
33220691,GGPS KULKURAI NO. 2,31.2777606,72.3213727,Nominatim-reverse (bus_station)
33230065,GES MIRAK SIAL,30.8349067,72.0764093,Nominatim-reverse (tertiary)
33220019,GHS PAKKAY WALA,31.2777606,72.3213727,Nominatim-reverse (bus_station)
33250398,GPS DOSA,31.1445463,71.8576839,Nominatim-reverse (secondary)
34630333,GGPS GADGOR,32.578007,73.4796617,Nominatim-reverse (guest_house)
34630071,GGHS BHOA HASAN,32.578007,73.4796617,Nominatim-reverse (guest_house)
34620292,GGPS MC DERA ROSHAN MBDIN,,,Not Geocoded (no coordinates available)
34620216,GGPS KOT AHMAD SHAH,,,Not Geocoded (no coordinates available)
34620121,GPS BHACHER,,,Not Geocoded (no coordinates available)
33410296,GPS RAZA NAGAR,,,Not Geocoded (no coordinates available)
33410240,GPS CHAK NO 466 JB DEPUTY WALA,,,Not Geocoded (no coordinates available)
33430143,GPS BASTI WALA,31.8235842,72.7989125,Nominatim-reverse (residential)
33420119,GGES BUKHARIAN,31.7309524,72.9834213,Nominatim-reverse (station)
33420110,GGES EID GAH NO. 1 CHINIOT,31.7309524,72.9834213,Nominatim-reverse (station)
32230667,GPS CHAK NO. 125-A/TDA,30.9681007,70.9433836,Nominatim-reverse (station)
32220320,GGES BASTI PITAFI,,,Not Geocoded (no coordinates available)
32230109,GGHS CHAK NO.162/TDA,30.9681007,70.9433836,Nominatim-reverse (station)
32210111,GPS HAFIZ ABAD,30.9656881,70.9459094,Nominatim-reverse (primary)
32220247,GGPS GARRAH SHUMALI,,,Not Geocoded (no coordinates available)
32122060,GGPS Hayat Muhammad,,,Not Geocoded (no coordinates available)
32130307,GPS BASTI YAQI,,,Not Geocoded (no coordinates available)
32130225,GPS MIR NAGAR,,,Not Geocoded (no coordinates available)
32130580,GGPS DR. GHULAM MUHAMMAD,,,Not Geocoded (no coordinates available)
32120673,GGPS LAKHIBHIR,,,Not Geocoded (no coordinates available)
32320476,GGES MANHAN (ARAIN WALA),30.405512,70.937831,Manual (Google Maps)
32310166,GGPS BASTI BARA,30.061283,71.1901326,Nominatim-reverse (primary)
32320579,GGPS CHAK NO. 565/TDA,,,Not Geocoded (no coordinates available)
32320475,GGPS BASTI SAIDAN,,,Not Geocoded (no coordinates available)
32330189,GPS KOTHELA,30.084183,71.1939667,Nominatim-reverse (station)
36420223,"GPS 44/10-R JADEED, P/O 44/10-R, JADEED",30.3022528,71.9278916,Nominatim-reverse (tertiary)
36420019,"GHS 30/10-R, KACHA KHUH",30.3022528,71.9278916,Nominatim-reverse (tertiary)
36410034,GGHSS JODH PUR KABIRWALA,30.3409282,71.90509,Nominatim-reverse (primary)
36430337,"GPS MODEL 113/15-L, P/O 116/15-L, MIAN CHANNU",30.4389367,72.3550547,Nominatim-reverse (primary)
36410376,"GMPS BAHADUR WALA, KABIRWALA",30.3409282,71.90509,Nominatim-reverse (primary)
39210362,GGPS 25/SP,30.3550157,73.3951195,Nominatim-reverse (station)
39220416,GGPS 79/EB-I ARIFWALA,30.2944504,73.0589418,Nominatim-reverse (grave_yard)
39220307,GGPS 26 EB,30.2944504,73.0589418,Nominatim-reverse (grave_yard)
39220400,GGES 52 EB PO 52 EB,30.2944504,73.0589418,Nominatim-reverse (grave_yard)
39220269,GGPS MC NO. 4 IQBAL NAGAR ARIFWALA,30.2944504,73.0589418,Nominatim-reverse (grave_yard)
36620075,GPS LAL BAGHALI,,,Not Geocoded (no coordinates available)
36630255,GGES 301 WB,29.8068303,71.7210552,Nominatim-reverse (station)
36610037,GHS CHAMB KULYAR,29.5403844,71.6230143,Nominatim-reverse (station)
36610049,GMES JAL WALA,29.5403844,71.6230143,Nominatim-reverse (station)
36630155,GPS CHAK NO. 386/WB,29.8068303,71.7210552,Nominatim-reverse (station)
32410358,GGPS BASTI SONHARA,29.6384224,70.5772492,Nominatim-reverse (station)
32420367,GGCMES MUDDASIR ABAD,29.1002542,70.3378699,Nominatim-reverse (station)
32420389,GGPS FIRDOUSI FARM,29.1002542,70.3378699,Nominatim-reverse (station)
32430225,GPS BASTI WADERA ABDUL RAZZAQ DULLANI,28.78785,70.00177,Nominatim-reverse (weighbridge)
32410347,GGPS BASTI MALKANI,29.6384224,70.5772492,Nominatim-reverse (station)
